name,date,county,county_state,city,city_state,state,race,denomination
The Church of the Holy Comforter,1876,Putnam,,Crescent City,,Florida,White,Protestant Episcopal Church
Rock Church,1913,Bradford,,Graham,,Florida,White,Baptist
Shiloh Baptist Church,1922,Putnam,,Palatka,,Florida,African-American,National Baptist Convention of the United States of America Inc.
St. James Church,1918,Gadsden,,Quincy,,Florida,African-American,African Methodist Episcopal
Golan Assembly Church,1934,Okaloosa,,Baker,,Florida,White,Pentecostal
"Methodist Episcopal Church, South",1890,Alachua,,Hawthorne,,Florida,White,Methodist
All Saints Episcopal Church,1887,Putnam,,Huntington,,Florida,White,The Episcopal Church
Jerusalem Church,1909,Gadsden,,Havana,,Florida,African-American,Baptist
Deep Creek Missionary Baptist Church,1867,Columbia,,Lake City,,Florida,African-American,Baptist
South Side Christian Science Society,1925,Duval,,Jacksonville,,Florida,White,"Church of Christ, Scientist"
Riverview Methodist Church,1908,Suwannee,,Dowling Park,,Florida,White,"Methodist Episcopal Church, South"
Saint Mark's Baptist,1909,Wakulla,,St. Mark's,,Florida,White,Southern Baptist Convention
Saint Mark's Episcopal Church,1890,Bradford,,Starke,,Florida,White,Episcopal
Mount Sinai Baptist Church,1888,Marion,,Orange Lake,,Florida,African-American,National Baptist Convention of the United States of America Inc.
The First Presbyterians Church,1922,Palm Beach,,West Palm Beach,,Florida,White,Presbyterian Church of the United States
Cross Road Baptist Church,1922,Hillsborough,,Lithia,,Florida,White,Baptist
Delaney Street Baptist Church,1928,Orange,,Orlando,,Florida,White,Southern Baptist Convention
New Zion Methodist Episcopal Church,1870,Levy,,Bronson,,Florida,African-American,Colored Methodist Episcopal
Nebraska Avenue Church of Christ,1903,Hillsborough,,Tampa,,Florida,White,Churches of Christ
First Presbyterian Church,1898,DeSoto,,Arcadia,,Florida,White,Presbyterian
Wallace Memorial,1913,Bay,,Panama City,,Florida,White,Presbyterian
New Hope Missionary Baptist Church,1913,Bay,,Lynn Haven,,Florida,African-American,Baptist
True-Vine Fire Baptized Holiness Church of God of the Americas,1913,Duval,,Jacksonville,,Florida,African-American,Holiness
Bonnet Pond Methodist Church,1896,Wakulla,,Medart,,Florida,White,"Methodist Episcopal Church, South"
Grace Evangelical Lutheran Church,1927,Pinellas,,St. Petersburg,,Florida,White,Evangelical Lutheran Synodical Conference of North America
First Methodist Church,1882,Lake,,Eustis,,Florida,White,Southern Methodist Church
Miami Seamen's Institute,1934,Dade,,Miami,,Florida,White,Nondenominational
Upsala Presbyterian Church,1891,Seminole,,Sanford,,Florida,White,Presbyterian
The Kingdom Gospel Tabernacle,1938,Sarasota,,Sarasota,,Florida,White,The Kingdom Gospel Tabernacle
Bethany Primitive Baptist Church,1839,Nassau,,Dyal,,Florida,White,Alabaha Primitive Baptist Association
Macedonia A.M.E. Church,1890,Volusia,,Oak Hill,,Florida,African-American,African Methodist Episcopal
The Church of Jesus Christ of Later-Day Saints,1921,St. Johns,,St. Augustine,,Florida,White,The Church of Jesus Christ of Latter-Day Saints
Springfield Methodist Episcopal Church,1865,Jackson,,Campbellton,,Florida,African-American,African Methodist Episcopal Church
Saint Monica's Roman Catholic Church,1858,Putnam,,Palatka,,Florida,White,Roman Catholic
Spiritualist Church of the New Day,1928,Duval,,Jacksonville,,Florida,White,Independent
Pentecostal Holiness,1936,Duval,,Jacksonville,,Florida,White,Pentecostal Holiness Church
New Hope Primitive Baptist Church,1862,Escambia,,Cantonment,,Florida,African-American,Primitive Baptist National Convention of the United States of America Inc.
Olivette Baptist Church,1888,Marion,,Ocala,,Florida,White,Southern Baptist Convention
Macedonia Baptist Church,1910,Bay,,Panama City,,Florida,African-American,Baptist
Mount Olive African Episcopal Church,1898,Alachua,,Gainesville,,Florida,African-American,Methodist
Mt. Bethel Baptist Institutional Church,1885,Volusia,,Daytona Beach,,Florida,African-American,National Baptist Convention of America Inc.
Free Will Methodist Church,1925,Dade,,South Miami,,Florida,White,Methodist
Church of the United Brethren in Christ,1912,Hillsborough,,Lutz,,Florida,White,Brethren
Saint Peters Baptist Church,1902,Duval,,Jacksonville,,Florida,African-American,Baptist
St. Luke African Methodist Episcopal Church,1910,Hillsborough,,Tampa,,Florida,African-American,African Methodist Episcopal
Edgewood Methodist Church,1915,Lee,,Fort Myers,,Florida,White,Southern Methodist Church
Dunnellon Baptist Church,1899,Marion,,Dunnellon,,Florida,African-American,Southern Baptist Convention
"Sumatra Methodist Episcopal Church, South",1906,Liberty,,Sumatra,,Florida,White,"Methodist Episcopal Church, South"
Bethel African Methodist Episcopal Church,1868,Monroe,,Key West,,Florida,African-American,African Methodist Episcopal Church
Temple Aharath Chesed,1882,Duval,,Jacksonville,,Florida,Jewish,Hebrew
"Tribly Methodist Episcopal Church, South",1905,Pasco,,Trilby,,Florida,White,"Methodist Episcopal Church, South"
Mount Zion Baptist Church,1904,Escambia,,Century,,Florida,African-American,National Baptist Convention of the United States of America Inc.
Saint Josephs Baptist Church,1890,St. Johns,,Vermont Hieghts,,Florida,African-American,National Baptist Convention of the United States of America Inc.
Church of God,1931,Martin,,Salerno,,Florida,White,Church of God
Mount Zion Christian Church,1911,Pinellas,,St. Petersburg,,Florida,African-American,Disciples of Christ
Main Street Baptist Church,1926,Lake,,Leesburg,,Florida,White,Southern Baptist Convention
Sliver Springs Baptist Church,1914,Okaloosa,,Crestview,,Florida,White,Southern Baptist Convention
Oak Grove Baptist Church,1911,Walton,,Darlington,,Florida,White,Southern Baptist Convention
Crawfordville Methodist Church,1856,Wakulla,,Crawfordville,,Florida,White,"Methodist Episcopal Church, South"
Braden River Methodist Church,1890,Manatee,,Oneco,,Florida,White,"Methodist Episcopal Church, South"
Alice Davis Memorial Christian Methodist Episcopal Church,1940,Marion,,Ocala,,Florida,White,Christian Methodist Episcopal Church
Mary's Church,1910,Sarasota,,Osprey,,Florida,White,non-denominational
The First Christian Church,1918,Palm Beach,,Lake Worth,,Florida,White,Disciples of Christ
Christ Congregational Church,1875,Volusia,,New Smyrna Beach,,Florida,White,Congregational and Christian Churches
Laodicea Primitive Baptist Church,1880,Nassau,,Callahan,,Florida,White,Saint Mary's River Association
Bagdad Presbyterian Church,1866,Santa Rosa,,Bagdad,,Florida,White,Presbyterian
First Baptist,1915,Indian River,,Vero Beach,,Florida,White,Baptist
The Assembly of God Church,1939,Walton,,DeFuniak Springs,,Florida,White,General Council of The Assemblies of God
Fort Clark Baptist Church,1850,Alachua,,Gainesville,,Florida,White,Baptist
Brevard County Tax Roll,1939,Brevard,,null,,Florida,null,null
Mount Nebo Primitive Bpatist Church,1929,Lafayette,,Day,,Florida,African-American,San Pedro Association
Maypop Methodist Episcopal Church,1879,Lafayette,,Branford,,Florida,White,Methodist Episcopalian
Thonotosassa Missionary Baptist Church,1921,Hillsborough,,Plant City,,Florida,White,Baptist
Mt. Zion Primitive Baptist Church,1878,Santa Rosa,,Milton,,Florida,African-American,National Baptist Convention of America Inc.
Church of God in Christ,1930,Palm Beach,,Belle Glade,,Florida,African-American,Church of God in Christ
Rocky Sink Baptist Church,1885,Suwannee,,Live Oak,,Florida,White,Southern Baptist Convention
Bealuh United Wesleyan African Methodist Episcopal Church,1926,Dade,,Miami,,Florida,African-American,Methodist
The Church of God,1935,Palm Beach,,Lake Worth,,Florida,White,Church of God
Malaga Square Community Church,1883,Escambia,,Pensacola,,Florida,White,Unknown
Morrison Memorial Methodist Church,1848,Lake,,Leesburg,,Florida,White,Southern Methodist Church
Curry Chapel African Methodist Episcopal Church,1928,Duval,,Dinsmore,,Florida,African-American,Methodist
Church of God,1920,Polk,,Fort Meade,,Florida,White,Church of God
Lake Mary Community Church,1894,Seminole,,Lake Mary,,Florida,White,Community Church
Saint Katherine Episcopal Church,1890,Escambia,,Pensacola,,Florida,White,The Episcopal Church
Bethlehem Baptist Church,1874,Madison,,Hopewell,,Florida,African-American,National Baptist Convention of the United States of America Inc.
Wahoo Baptist Church,1903,Sumter,,Bushnell,,Florida,White,Southern Baptist Convention
Smyrna Landmark Baptist Church,1933,Sumter,,Bushnell,,Florida,White,Southern Baptist Convention
Oak Park Missionary Baptist Church,1926,Hernando,,Brooksville,,Florida,African-American,Baptist
Church of God,1937,Madison,,Lee,,Florida,White,Church of God
Lime Sink Baptist Church,1900,Madison,,Madison,,Florida,African-American,National Baptist Convention of the United States of America Inc.
Church of Jesus Christ of Latter Day Saints,1933,Putnam,,Palatka,,Florida,White,Church of Jesus Christ of Latter Day Saints
The Chapel in The Wildwood,1925,Volusia,,Holly Hill,,Florida,White,Protestant Episcopal Church
Baptist Gospel Tabernacle,1937,Brevard,,Melbourne,,Florida,White,Baptist
Sanctified Church,1933,Leon,,Tallahassee,,Florida,African-American,Church of God in Christ
Osteen Methodist Church,1890,Volusia,,Osteen,,Florida,White,"Methodist Episcopal Church, South"
Nebo Baptist Church,1900,Madison,,Madison,,Florida,African-American,National Baptist Convention of the United States of America Inc.
Burket Chapel Primitive Baptist Church,1894,Polk,,Bartow,,Florida,African-American,"Primitive Baptist Convention of the United States of America, Inc."
Saint Mark's Missionary Baptist Church,1922,Dade,,Miami,,Florida,African-American,Baptist
"The House, Which is the Church of the Living God the Pillar and Ground of the Truth Without Controversy",1926,Duval,,Jacksonville,,Florida,African-American,Churches of the Living God
Espiscopal Church of the Good Shepard,1876,Orange,,Maitland,,Florida,White,Episcopal
Morse-Grove Baptist Church,1936,Duval,,Jacksonville,,Florida,African-American,Baptist
New Life Baptist Church,1923,Escambia,,McDavid,,Florida,African-American,National Baptist Convention of the United States of America Inc.
Brinkley Methodist Church,1895,Duval,,Jacksonville,,Florida,White,Methodist
Salvation Army Community Center,1937,Palm Beach,,West Gate,,Florida,White,The Salvation Army
Lake Placid African Methodist Episcopal Church,1926,Highlands,,Lake Placid,,Florida,African-American,African Methodist Episcopal
Grace Baptist Church,1908,Duval,,Jacksonville,,Florida,White,Baptist
Allen Chapel A.M.E. Church,1910,Volusia,,Daytona Beach,,Florida,African-American,African Methodist Episcopal
Fort Drum,1889,Okeechobee,,Cuntry,,Florida,White,Southern Baptist Convention
"Nixon Methodist Church, South",1900,Bay,,Nixon,,Florida,White,Methodist
Pine Level Methodist Church,1865,DeSoto,,Pine Level,,Florida,White,Methodist
Advent Christian Church of McAlpin,1905,Suwannee,,McAlpin,,Florida,White,Advent Christian Church
North City Baptist Church,1886,St. Johns,,St. Augustine,,Florida,African-American,National Baptist Convention of the United States of America Inc.
Empire Primitive Baptist Church,1871,Lake,,Groveland,,Florida,White,Mount Enon Association
"Southside Methodist Episcopal Church, South",1914,Dade,,Miami,,Florida,White,Methodist
Saint John's Baptist Church,1912,Manatee,,Palmetto,,Florida,African-American,National Baptist Convention of the United States of America Inc.
New Payne Chappelle African Methodist Episcopal Church,1913,Duval,,Jacksonville,,Florida,African-American,Methodist
Mount Olive African Methodist Episcopal Church,1927,Putnam,,Palatka,,Florida,African-American,African Methodist Episcopal Church
Grants Chapel C.M.E. Church,1906,Orange,,Winter Park,,Florida,White,Christian Methodist  Episcopal Church
Sandy Baptist Church,1904,Manatee,,Myakka City,,Florida,White,Southern Baptist Convention
Greater Bethel Holiness Church,1930,Suwannee,,Falmouth,,Florida,African-American,Pentecostal Holiness Church
Shaw Methodist Church,1922,Madison,,Madison,,Florida,White,Methodist Protestant Church
The Church of God,1936,Volusia,,Pierson,,Florida,White,Church of God
The Pilgrim Congregational Church,1911,Hillsborough,,Tampa,,Florida,White,Congregational
Elizabeth Chapel,1920,Santa Rosa,,Milton,,Florida,White,Methodist
Sneads Methodist Church,1884,Jackson,,Sneads,,Florida,White,Southern Methodist
Pligrim's Rest Bapist Church,1890,Okaloosa,,Baker,,Florida,White,Southern Baptist Convention
Saint John's Baptist Church,1896,Lake,,Leesburg,,Florida,African-American,National Baptist Convention of the United States of America Inc.
Ardella Missionary Baptist Church,1922,Polk,,Lakeland,,Florida,White,American Baptist Association
Northside Methodist Church,1925,Pinellas,,St. Petersburg,,Florida,White,Southern Methodist Church
Church of God,1936,Suwannee,,Live Oak,,Florida,African-American,Pentecostal Holiness Church
Tenth Avenue Baptist Church,1903,Hillsborough,,Tampa,,Florida,White,Baptist
Geneva Methodist Church,1879,Seminole,,Geneva,,Florida,White,Methodist
The Church of God,1918,Palm Beach,,Jupiter,,Florida,African-American,Church of God
Belmont Heights Methodist Church,1924,Hillsborough,,Tampa,,Florida,White,Methodist
Ebenezer Gospel Hall,unknown,Dade,,Miami,,Florida,white,Unknown
Valley Grove,1918,Santa Rosa,,Munson,,Florida,White,Southern Baptist Convention
San Mateo Presbyterian Church,1882,Putnam,,San Mateo,,Florida,White,Presbyterian Church of the United States
Assembly of God,1930,Pasco,,Richland,,Florida,White,General Council of The Assemblies of God
Union Baptist Church,1871,Marion,,Martin,,Florida,African-American,National Baptist Convention of the United States of America Inc.
"Holloman Park Methodist Episcopal Church, South",1924,Dade,,Miami,,Florida,White,Methodist
New Jerusalem Baptist Church,1925,Broward,,Hollywood,,Florida,African-American,Baptist
First Methodist Church In Fort Myers,1872,Lee,,Fort Myers,,Florida,White,Southern Methodist Church
Coconut Grove Church of God,1911,Dade,,Miami,,Florida,White,Church of God
Church of God,1936,Highlands,,Lake Placid,,Florida,White,Church of God
Goodwill Presbyterian Church,1922,St. Lucie,,Ft. Pierce,,Florida,White,Presbyterian
Second Baptist Church,1921,Hillsborough,,Plant City,,Florida,White,Baptist
First Presbyterian Church of Waldo,1883,Alachua,,Waldo,,Florida,White,Presbyterian
True Vine Baptist Church,1914,Sarasota,,Sarasota,,Florida,African-American,National Baptist Convention of America Inc.
Antroch Bapist Church,1908,Okaloosa,,Milligan,,Florida,White,Southern Baptist Convention
Christian and Missionary Alliance,1898,Orange,,Orlando,,Florida,White,Christian and Missionary Alliance
The Church of God,1927,Hillsborough,,Tampa,,Florida,White,Church of God
Church of the Holy Spirit,1902,Orange,,Apopka,,Florida,White,Churches of Christ
Mt. Moriah Baptist Church,1900,Duval,,Jacksonville,,Florida,African-American,Baptist
Pine Hill Church,1924,Leon,,Tallahassee,,Florida,African-American,Florida Union Methodist Episcopal in American
Church of God,1927,Alachua,,Gainesville,,Florida,African-American,Church of God
New Hope Missionary Baptist Church,1892,Orange,,Apopka,,Florida,African-American,National Baptist Convention of America Inc.
The Assembly of God Church of Ocala,1935,Marion,,Ocala,,Florida,White,General Council of The Assemblies of God
